Place Of Service,Service Type,Product,Group Size,In Network,Is Covered,Date of Service From,Date of Service To,Covered in Full,Copay,Coinsurance
Inpatient,dentalAccidental,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,dentalAccidental,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,dentalAccidental,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,dentalAccidental,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,dentalAccidental,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,dentalAccidental,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,acupuncture,PRODUCT123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Office,acupuncture,PRODUCT123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Outpatient,acupuncture,PRODUCT123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Inpatient,acupuncture,PRODUCT123,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,adultImmunizations,PRODUCT123,L,N,N,1/1/2015,12/31/2023,N,N,N
Outpatient,adultImmunizations,PRODUCT123,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,adultImmunizations,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,adultImmunizations,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,adultImmunizations,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,adultImmunizations,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,adultPhysicalRoutine,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,adultPhysicalRoutine,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,adultPhysicalRoutine,PRODUCT123,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,adultPhysicalRoutine,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,adultPhysicalRoutine,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Inpatient,adultPhysicalRoutine,PRODUCT123,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,allergyInjection,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,allergyInjection,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,allergyInjection,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,allergyInjection,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,allergyInjection,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,allergyInjection,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,allergyTesting,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,allergyTesting,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,allergyTesting,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,allergyTesting,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,allergyTesting,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,allergyTesting,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,ambulance,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,ambulance,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,ambulance,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,ambulance,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,ambulance,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,ambulance,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,ambulatorySurgery,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,ambulatorySurgery,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,ambulatorySurgery,PRODUCT123,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,ambulatorySurgery,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,ambulatorySurgery,PRODUCT123,L,Y,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,ambulatorySurgery,PRODUCT123,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,anesthesia,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,anesthesia,PRODUCT123,L,N,,1/1/2015,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,anesthesia,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,anesthesia,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,anesthesia,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,anesthesia,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,anticoagulantTherapy,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,anticoagulantTherapy,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,anticoagulantTherapy,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,anticoagulantTherapy,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,anticoagulantTherapy,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,anticoagulantTherapy,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,autismEvaluation,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,autismEvaluation,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,autismEvaluation,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,autismEvaluation,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,autismEvaluation,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,autismEvaluation,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,autologousBlood,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,autologousBlood,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,autologousBlood,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,autologousBlood,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,autologousBlood,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,autologousBlood,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,N
Outpatient,biofeedback,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,N
Office,biofeedback,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,N
Inpatient,biofeedback,PRODUCT123,L,Y,N,1/1/2015,12/31/2023,N,Copay XX,N
Office,biofeedback,PRODUCT123,L,Y,N,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,biofeedback,PRODUCT123,L,Y,N,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,biofeedback,PRODUCT123,L,N,N,1/1/2015,12/31/2023,N,N,Y
Office,boneDensityTest,PRODUCT123,L,N,N,1/1/2015,12/31/2023,N,N,Y
Outpatient,boneDensityTest,PRODUCT123,L,N,N,1/1/2015,12/31/2023,N,N,Y
Inpatient,boneDensityTest,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
